,start,stop,lift,drop,forward,backward,left,right,pick,place
start,2,0,0,1,1,0,0,0,0,1
stop,1,1,0,0,0,0,3,0,0,0
lift,0,0,2,0,0,2,0,0,1,0
drop,0,0,0,3,1,1,0,0,0,0
forward,0,0,0,0,0,4,0,1,0,0
backward,0,0,0,0,0,4,0,0,0,1
left,0,0,0,0,0,3,1,0,0,1
right,1,0,0,0,0,2,0,1,0,1
pick,0,0,1,0,0,0,2,2,0,0
place,2,0,0,0,0,0,3,0,0,0
