,start,stop,lift,drop,forward,backward,left,right,pick,place
start,4,0,0,0,0,0,1,0,0,0
stop,0,5,0,0,0,0,0,0,0,0
lift,0,0,4,0,0,0,1,0,0,0
drop,0,0,0,5,0,0,0,0,0,0
forward,0,0,0,0,5,0,0,0,0,0
backward,0,0,0,0,0,5,0,0,0,0
left,0,0,0,0,0,0,5,0,0,0
right,0,0,0,0,0,0,0,5,0,0
pick,0,0,0,0,0,0,0,0,5,0
place,0,0,0,0,0,0,0,0,0,5
