,start,stop,lift,drop,forward,backward,left,right,pick,place
start,3,0,0,2,0,0,0,0,0,0
stop,1,1,0,0,0,0,3,0,0,0
lift,0,0,2,0,0,1,0,0,2,0
drop,0,0,0,4,1,0,0,0,0,0
forward,0,0,0,0,0,4,0,1,0,0
backward,0,0,0,0,0,4,0,0,0,1
left,0,2,0,0,0,2,1,0,0,0
right,1,0,0,2,0,2,0,0,0,0
pick,0,0,2,0,0,0,1,2,0,0
place,2,0,0,0,0,0,3,0,0,0
